Clearing Data,,,,,,
,Gold,,,Silver,,
Month,Ounces (mns),Value US$ (bns),Transfers,Ounces (mns),Value US$ (bns),Transfers
2024-09,17.2,44.2,"5,663",227.2,6.80,"2,878"
2024-08,18.2,44.9,"6,643",215.6,6.10,"2,455"
2024-07,16.4,39.3,"5,270",229.9,6.80,"2,607"
2024-06,16.7,38.9,"4,894",236.4,7.00,"2,830"
2024-05,16.3,38.3,"4,662",239.7,7.50,"3,397"
2024-04,18.8,43.9,"5,588",277.8,7.70,"3,247"
2024-03,19.9,42.9,"5,180",292.2,7.10,"2,319"
2024-02,17.8,36.0,"4,593",231.5,5.30,"1,411"
2024-01,20.3,41.3,"5,014",223.5,5.13,"1,302"
2023-12,21.8,44.3,"4,711",218.1,5.23,"1,569"
2023-11,17.1,34.0,"5,222",197.8,4.63,"1,671"
2023-10,17.3,33.1,"4,727",212.6,4.75,"1,326"
2023-09,16.3,31.3,"4,113",234.9,5.46,"1,498"
2023-08,16.8,32.2,"4,184",247,5.79,"1,567"
2023-07,16.7,32.6,"4,141",243.3,5.85,"1,710"
2023-06,17.2,33.4,"4,427",236.5,5.54,"1,701"
2023-05,19.0,37.8,"4,963",243.3,5.87,"1,914"
2023-04,20.5,41.0,"4,715",298.4,7.46,"2,455"
2023-03,18.7,35.8,"4,798",302.4,6.63,"1,840"
2023-02,17.7,32.8,"4,313",269.6,5.93,"1,847"
2023-01,17.7,33.6,"4,063",247.6,5.88,"1,870"
2022-12,21.2,38.0,"3,859",243.3,5.65,"2,062"
2022-11,18.5,31.9,"3,669",238.1,5.00,"1,735"
2022-10,18.3,30.4,"4,257",242.4,4.69,"1,585"
2022-09,19.5,32.9,"4,524",255.5,4.81,"1,528"
2022-08,19.3,34.1,"4,517",244.2,4.82,"1,497"
2022-07,21.9,38.0,"4,819",222.9,4.25,"1,256"
2022-06,19.9,36.5,"5,327",242.3,5.21,"1,807"
2022-05,18.3,33.7,"5,122",243.9,5.34,"1,798"
2022-04,18.2,35.2,"4,605",233.3,5.73,"1,620"
2022-03,19.6,38.2,"5,347",233.7,5.90,"2,026"
2022-02,17.2,31.8,"4,529",191.2,4.49,"1,641"
2022-01,18.0,32.7,"4,619",201.0,4.65,"1,646"
2021-12,15.8,28.3,"4,453",208.9,4.69,"1,452"
