Date,btcprice,Open,High,Low,Vol.,BTC Change %,ethprice,xauprice,usdeurprice
11/14/2024,87755.4,"90,424.80","91,726.70","87,660.40",208.90K,-2.95%,3091.29,2557.19,0.9489
11/13/2024,90422.2,"87,971.20","93,226.60","86,168.40",257.57K,2.82%,3187.02,2573.78,0.9465
11/12/2024,87941.3,"88,665.00","89,929.60","85,122.20",288.68K,-0.82%,3242.44,2597.27,0.9413
11/11/2024,88664.1,"80,389.00","89,519.00","80,231.80",254.04K,10.29%,3372.13,2620.2,0.9383
11/10/2024,80388.5,"76,681.40","81,373.50","76,520.50",193.83K,4.81%,3186.05,2683.77,0.9329
11/9/2024,76700.3,"76,506.10","76,904.00","75,732.50",72.97K,0.24%,3127.69,2706.99,0.9254
11/8/2024,76517.3,"75,869.80","77,188.50","75,599.00",155.17K,0.85%,2961.34,2659.24,0.932
11/7/2024,75868.6,"75,585.50","76,837.80","74,448.20",184.16K,0.37%,2894.13,2743.59,0.9147
11/6/2024,75586.3,"69,374.10","76,401.40","69,323.00",357.28K,8.96%,2721.85,2736.39,0.9193
11/5/2024,69373.7,"67,848.30","70,495.60","67,473.60",108.95K,2.25%,2422.5,2735.16,0.923
11/4/2024,67848.8,"68,770.30","69,483.40","66,834.00",101.31K,-1.34%,2398.95,2743.8,0.9188
11/3/2024,68769.6,"69,334.80","69,383.60","67,514.20",83.16K,-0.80%,2457.68,2786.19,0.9211
11/2/2024,69325.8,"69,499.30","69,896.90","69,029.00",38.72K,-0.26%,2492.45,2775.13,0.9243
11/1/2024,69507.2,"70,278.70","71,598.40","68,846.00",130.46K,-1.10%,2511.96,2741.98,0.9248
10/31/2024,70281.8,"72,343.70","72,685.70","69,674.50",111.29K,-2.86%,2519.14,2747.69,0.9262
10/30/2024,72347.8,"72,732.50","72,907.40","71,460.00",99.05K,-0.53%,2658.62,2735.7,0.9235
10/29/2024,72730.4,"69,957.20","73,569.40","69,753.20",168.60K,3.97%,2638.64,2717.54,0.9273
10/28/2024,69954.1,"68,011.90","70,203.40","67,610.00",103.97K,2.87%,2567.41,2748.38,0.9258
10/27/2024,68004.6,"67,084.70","68,308.00","66,924.60",33.58K,1.37%,2507.39,2719.65,0.9246
10/26/2024,67086.8,"66,694.50","67,408.40","66,443.80",42.05K,0.58%,2482.52,2720.25,0.9202
10/25/2024,66696.8,"68,191.90","68,756.80","65,644.20",110.51K,-2.19%,2441.18,2692.55,0.9232
10/24/2024,68191.5,"66,659.20","68,831.80","66,510.60",82.78K,2.29%,2535.87,2673.24,0.9206
10/23/2024,66663.7,"67,428.60","67,441.10","65,246.70",84.99K,-1.13%,2526.1,2660.99,0.9181
10/22/2024,67427.3,"67,370.80","67,815.30","66,609.40",86.76K,0.08%,2621.79,2651.05,0.9166
10/21/2024,67371.3,"69,030.50","69,490.80","66,845.50",109.28K,-2.40%,2666.66,2656.0,0.9142
10/20/2024,69030.5,"68,373.30","69,386.40","67,443.90",44.92K,0.96%,2747.28,2629.48,0.9144
10/19/2024,68372.0,"68,426.40","68,688.80","68,025.50",33.29K,-0.07%,2647.39,2607.77,0.9141
10/18/2024,68423.1,"67,416.50","68,990.30","67,190.90",99.20K,1.49%,2641.72,2621.94,0.9105
10/17/2024,67418.4,"67,618.10","67,933.50","66,677.30",84.68K,-0.30%,2605.53,2643.58,0.911
10/16/2024,67617.9,"67,075.10","68,389.40","66,766.60",98.30K,0.81%,2611.09,2652.25,0.9109
10/15/2024,67077.5,"66,084.10","67,821.90","64,850.60",136.72K,1.51%,2607.84,2655.9,0.9065
10/14/2024,66081.7,"62,870.70","66,476.60","62,463.70",122.09K,5.11%,2630.54,2657.75,0.9053
10/13/2024,62870.9,"63,205.40","63,284.60","62,054.20",42.26K,-0.53%,2468.92,2662.82,0.9034
10/12/2024,63205.1,"62,506.60","63,463.10","62,486.10",40.91K,1.13%,2476.48,2634.49,0.8981
10/11/2024,62499.4,"60,317.50","63,385.10","60,080.60",86.38K,3.62%,2436.73,2657.97,0.8957
10/10/2024,60316.2,"60,628.90","61,304.60","59,075.70",83.86K,-0.52%,2385.4,2670.2,0.8947
10/9/2024,60628.8,"62,157.00","62,537.00","60,355.50",68.79K,-2.46%,2370.13,2656.82,0.8981
10/8/2024,62157.0,"62,226.90","63,196.60","61,883.20",63.75K,-0.14%,2440.93,2656.7,0.8944
10/7/2024,62245.6,"62,819.80","64,449.30","62,175.80",86.27K,-0.91%,2422.75,2628.4,0.8998
10/6/2024,62819.4,"62,062.00","62,934.50","61,495.40",31.72K,1.22%,2440.33,2621.96,0.8958
10/5/2024,62061.4,"62,085.50","62,366.80","61,705.70",30.15K,-0.03%,2414.98,2586.48,0.8959
10/4/2024,62081.0,"60,751.40","62,471.70","60,469.30",72.71K,2.19%,2414.43,2559.16,0.8994
10/3/2024,60751.2,"60,642.00","61,468.90","59,904.40",82.43K,0.17%,2349.67,2569.52,0.8998
10/2/2024,60645.7,"60,834.20","62,339.80","60,002.70",98.94K,-0.31%,2365.57,2582.58,0.8982
10/1/2024,60835.5,"63,329.90","64,125.30","60,195.90",134.93K,-3.95%,2449.67,2576.5,0.9028
09/30/2024,63339.2,"65,607.00","65,607.00","62,901.10",101.70K,-3.46%,2603.48,2558.75,0.9029
09/29/2024,65607.1,"65,862.80","66,065.70","65,436.80",32.60K,-0.39%,2657.67,2511.44,0.9079
09/28/2024,65866.5,"65,775.60","66,232.50","65,438.10",35.00K,0.14%,2675.71,2516.12,0.9074
09/27/2024,65776.3,"65,168.80","66,440.70","64,839.20",80.55K,0.92%,2694.53,2505.25,0.9062
09/26/2024,65175.7,"63,157.20","65,770.90","62,693.30",96.06K,3.20%,2632.05,2497.03,0.902
09/25/2024,63156.5,"64,262.90","64,788.40","62,952.80",62.72K,-1.71%,2580.34,2516.32,0.9
09/24/2024,64256.8,"63,335.90","64,664.10","62,740.80",76.71K,1.46%,2652.5,2494.84,0.9023
09/23/2024,63331.8,"63,575.40","64,723.40","62,650.00",75.66K,-0.38%,2647.65,2492.76,0.9055
09/22/2024,63572.7,"63,351.20","63,998.20","62,394.60",48.86K,0.35%,2582.35,2499.29,0.9031
09/21/2024,63348.1,"63,201.20","63,526.30","62,778.60",33.20K,0.23%,2613.35,2503.03,0.9051
09/20/2024,63201.2,"62,942.40","64,085.10","62,367.10",90.65K,0.42%,2561.79,2521.18,0.9027
09/19/2024,62938.6,"61,754.80","63,849.60","61,596.50",120.17K,1.91%,2464.49,2502.25,0.8992
09/18/2024,61757.6,"60,308.50","61,757.60","59,210.70",105.57K,2.40%,2372.18,2524.57,0.8941
09/17/2024,60309.1,"58,213.10","61,309.00","57,630.20",106.30K,3.60%,2341.82,2516.89,0.8959
09/16/2024,58213.1,"59,126.20","59,204.30","57,527.80",87.60K,-1.56%,2295.72,2512.07,0.8934
09/15/2024,59138.5,"59,995.60","60,377.60","58,717.90",47.01K,-1.43%,2317.04,2483.29,0.8998
09/14/2024,59995.4,"60,514.80","60,609.40","59,494.30",44.47K,-0.85%,2417.56,2511.95,0.8968
09/13/2024,60511.6,"58,134.40","60,625.40","57,656.80",102.12K,4.09%,2440.12,2513.74,0.8984
9/12/2024,58134.5,"57,335.50","58,484.10","57,329.60",98.42K,1.39%,2361.79,2503.92,0.902
9/11/2024,57338.7,"57,638.00","57,975.90","55,576.60",102.15K,-0.51%,2340.19,2507.28,0.9067
9/10/2024,57635.0,"57,045.60","58,019.90","56,415.30",77.65K,1.03%,2387.71,2456.1,0.9113
9/9/2024,57049.6,"54,868.00","57,956.70","54,595.40",105.33K,3.99%,2359.6,2447.64,0.908
9/8/2024,54861.3,"54,161.40","55,292.70","53,642.40",51.99K,1.30%,2296.19,2465.03,0.9096
9/7/2024,54156.5,"53,965.00","54,819.20","53,754.30",58.11K,0.35%,2274.87,2472.25,0.9147
9/6/2024,53966.8,"56,179.70","56,969.10","52,644.60",155.84K,-3.94%,2225.72,2430.93,0.916
9/5/2024,56183.2,"57,970.70","58,318.90","55,744.60",90.36K,-3.09%,2369.18,2426.75,0.9158
9/4/2024,57973.4,"57,490.40","58,508.80","55,732.10",108.44K,0.86%,2450.18,2381.53,0.9155
9/3/2024,57479.8,"59,133.70","59,799.70","57,436.90",74.77K,-2.80%,2423.4,2389.37,0.9147
9/2/2024,59134.0,"57,309.00","59,416.60","57,185.80",73.18K,3.17%,2538.35,2407.65,0.9128
9/1/2024,57315.7,"58,975.70","59,058.70","57,232.40",63.95K,-2.82%,2427.49,2443.29,0.9164
08/31/2024,58978.6,"59,120.40","59,447.00","58,761.10",30.86K,-0.24%,2513.56,2445.42,0.9266
08/30/2024,59119.7,"59,371.70","59,817.60","57,874.70",87.31K,-0.43%,2525.45,2448.1,0.9237
08/29/2024,59373.5,"59,027.30","61,150.60","58,807.10",87.19K,0.61%,2528.72,2408.43,0.9246
08/28/2024,59016.0,"59,425.60","60,198.40","57,912.10",109.47K,-0.73%,2527.73,2383.54,0.924
08/27/2024,59450.9,"62,832.20","63,201.40","58,187.30",108.53K,-5.40%,2457.99,2385.57,0.9208
08/26/2024,62846.2,"64,240.70","64,472.50","62,841.10",68.89K,-2.22%,2680.3,2364.5,0.9218
08/25/2024,64273.2,"64,160.70","64,939.20","63,796.60",41.61K,0.18%,2747.99,2397.59,0.9223
08/24/2024,64159.3,"64,061.70","64,458.90","63,579.50",54.14K,0.17%,2768.49,2409.21,0.9212
08/23/2024,64053.1,"60,374.70","64,830.10","60,354.40",125.50K,6.10%,2762.86,2397.65,0.9179
08/22/2024,60372.2,"61,158.30","61,399.70","59,815.80",74.39K,-1.29%,2623.06,2400.79,0.919
08/21/2024,61158.1,"59,010.00","61,812.00","58,831.10",91.31K,3.65%,2630.67,2444.97,0.9178
08/20/2024,59005.8,"59,470.30","61,331.60","58,612.00",69.77K,-0.78%,2572.9,2458.38,0.914
08/19/2024,59470.9,"58,445.80","59,598.50","57,872.00",49.19K,1.75%,2637.1,2468.57,0.9173
08/18/2024,58446.3,"59,485.40","60,216.30","58,436.10",30.82K,-1.74%,2612.1,2422.07,0.9179
08/17/2024,59483.1,"58,877.80","59,659.50","58,825.50",18.51K,1.03%,2614.35,2411.27,0.9167
08/16/2024,58877.2,"57,545.10","59,817.30","57,129.10",64.01K,2.33%,2592.38,2414.78,0.92
08/15/2024,57534.6,"58,710.10","59,831.40","56,275.70",81.47K,-2.00%,2569.44,2371.07,0.9233
08/14/2024,58707.8,"60,594.60","61,543.00","58,491.20",64.79K,-3.11%,2662.95,2363.58,0.9246
08/13/2024,60595.2,"59,350.20","61,537.00","58,492.40",62.92K,2.10%,2702.95,2358.8,0.9237
8/12/2024,59350.0,"58,711.70","60,606.20","57,689.00",79.31K,1.08%,2722.64,2391.46,0.9225
8/11/2024,58713.3,"60,929.80","61,677.30","58,388.70",41.06K,-3.64%,2553.57,2356.12,0.9249
8/10/2024,60931.7,"60,844.50","61,344.50","60,264.20",22.91K,0.13%,2610.24,2356.06,0.927
8/9/2024,60850.6,"61,697.80","61,712.30","59,570.20",69.55K,-1.38%,2598.9,2329.28,0.9305
8/8/2024,61699.7,"55,112.80","62,563.50","54,786.90",109.77K,11.94%,2683.84,2331.7,0.9309
8/7/2024,55120.9,"56,049.90","57,669.60","54,598.50",94.52K,-1.67%,2337.83,2325.71,0.9331
8/6/2024,56057.8,"54,010.80","57,025.60","53,998.20",113.89K,3.85%,2461.92,2327.45,0.9341
8/5/2024,53979.0,"58,142.90","58,291.40","49,486.90",333.46K,-7.16%,2415.99,2297.91,0.9362
8/4/2024,58141.8,"60,700.20","61,086.50","57,346.90",72.71K,-4.21%,2688.55,2319.01,0.9332
8/3/2024,60696.7,"61,480.80","62,184.20","59,914.60",65.74K,-1.27%,2904.59,2332.93,0.9316
8/2/2024,61478.7,"65,351.80","65,567.10","61,242.30",93.89K,-5.96%,2990.32,2320.34,0.935
8/1/2024,65372.9,"64,625.70","65,587.90","62,303.90",84.20K,1.16%,3204.93,2359.63,0.9342
07/31/2024,64626.0,"66,185.40","66,825.60","64,538.30",51.52K,-2.36%,3231.84,2327.48,0.9305
07/30/2024,66184.9,"66,796.10","66,998.30","65,328.70",54.43K,-0.92%,3278.94,2328.33,0.9309
07/29/2024,66798.7,"68,256.30","70,000.20","66,544.50",85.67K,-2.14%,3318.24,2318.87,0.9315
07/28/2024,68256.3,"67,888.90","68,291.90","67,067.80",26.17K,0.61%,3270.32,2332.52,0.9342
07/27/2024,67843.1,"67,910.80","69,387.60","66,776.80",67.99K,-0.10%,3247.06,2303.19,0.9312
07/26/2024,67908.6,"65,799.70","68,205.00","65,764.30",59.13K,3.21%,3275.12,2322.55,0.925
07/25/2024,65799.3,"65,363.90","66,088.60","63,500.90",77.46K,0.66%,3175.52,2316.27,0.931
07/24/2024,65370.5,"65,936.80","67,072.10","65,155.20",52.47K,-0.86%,3335.33,2310.6,0.9288
07/23/2024,65937.8,"67,550.40","67,750.20","65,512.90",69.58K,-2.39%,3482.54,2292.71,0.9256
07/22/2024,67553.6,"68,158.40","68,468.90","66,601.80",54.88K,-0.89%,3440.01,2375.61,0.9181
07/21/2024,68158.7,"67,147.80","68,352.90","65,825.60",47.19K,1.50%,3535.55,2354.78,0.9199
07/20/2024,67148.5,"66,677.00","67,586.40","66,257.40",32.94K,0.71%,3517.04,2327.68,0.9189
07/19/2024,66677.4,"63,981.20","67,390.40","63,326.10",82.87K,4.22%,3504.42,2350.35,0.9169
07/18/2024,63980.5,"64,090.40","65,102.00","63,253.50",51.27K,-0.17%,3425.94,2326.97,0.9221
07/17/2024,64089.2,"65,052.80","66,051.50","63,897.50",66.11K,-1.48%,3387.81,2343.0,0.923
07/16/2024,65049.7,"64,749.20","65,319.50","62,430.80",93.63K,0.41%,3442.99,2338.77,0.9256
07/15/2024,64782.4,"60,794.70","64,869.50","60,678.80",96.02K,6.56%,3484.78,2360.95,0.9209
07/14/2024,60794.9,"59,207.90","61,326.90","59,207.90",47.48K,2.68%,3243.5,2350.74,0.9209
07/13/2024,59209.8,"57,897.40","59,826.50","57,770.60",34.28K,2.29%,3175.1,2333.76,0.9217
