Month,Gold Ounces,Gold Volume,Gold Transfers,Silver Ounces,Silver Volume,Silver Transfers,name,open,high,low,close,BTC Volume,marketCap,timestamp
2024-09,17.2,44.2,"5,663",227.2,6.8,"2,878",BTC,58969.7994536059,66480.6947101072,52598.6996623841,63329.4981294766,935.2,1251461875405.87,2024-09-30T23:59:59.999Z
2024-08,18.2,44.9,"6,643",215.6,6.1,"2,455",BTC,64625.8404447144,65593.244771184,49121.2373775943,58969.8983660431,1076.5,1164522862133.13,2024-08-31T23:59:59.999Z
2024-07,16.4,39.3,"5,270",229.9,6.8,"2,607",BTC,62673.6063386528,69987.5422080099,53717.3754334207,64619.2496492185,953.4,1275323104043.98,2024-07-31T23:59:59.999Z
2024-06,16.7,38.9,"4,894",236.4,7.0,"2,830",BTC,67489.6117770498,71907.8489829092,58601.7000722967,62678.292079457,751.7,1235944779945.39,2024-06-30T23:59:59.999Z
2024-05,16.3,38.3,"4,662",239.7,7.5,"3,397",BTC,60609.4979456889,71946.462688481,56555.2940546252,67491.4170108375,874.3,1329961627933.33,2024-05-31T23:59:59.999Z
2024-04,18.8,43.9,"5,588",277.8,7.7,"3,247",BTC,71333.4847168797,72715.3596085505,59120.0680465683,60636.8567800147,1016.1,1193544962108.24,2024-04-30T23:59:59.999Z
2024-03,19.9,42.9,"5,180",292.2,7.1,"2,319",BTC,61168.0624293716,73750.07385038,59323.9089421326,71333.6479258644,1446.4,1403108244335.61,2024-03-31T23:59:59.999Z
2024-02,17.8,36.0,"4,593",231.5,5.3,"1,411",BTC,42569.7613984399,63913.1318135774,41879.1899911815,61198.382897303,830.7,1202008882583.53,2024-02-29T23:59:59.999Z
2024-01,20.3,41.3,"5,014",223.5,5.13,"1,302",BTC,42280.2352761923,48969.3713995297,38521.8938882205,42582.6063895367,825.9,835231465697.41,2024-01-31T23:59:59.999Z
2023-12,21.8,44.3,"4,711",218.1,5.23,"1,569",BTC,37718.0096264496,44705.5150094178,37629.3589120492,42265.185654866,721.7,827811209384.42,2023-12-31T23:59:59.999Z
2023-11,17.1,34.0,"5,222",197.8,4.63,"1,671",BTC,34657.275324496,38415.3381982376,34133.4396153842,37712.7477716325,570.9,737560917365.82,2023-11-30T23:59:59.999Z
2023-10,17.3,33.1,"4,727",212.6,4.75,"1,326",BTC,26967.3974331494,35150.4334987547,26558.320783999,34667.7793605467,476.4,677047621125.28,2023-10-31T23:59:59.999Z
2023-09,16.3,31.3,"4,113",234.9,5.46,"1,498",BTC,25934.0208061586,27488.7638021952,24930.2974941684,26967.9163010637,337.6,525885640459.76,2023-09-30T23:59:59.999Z
2023-08,16.8,32.2,"4,184",247.0,5.79,"1,567",BTC,29230.8724049903,30176.7962374838,25409.1116027686,25931.4728933574,437.7,504957555550.64,2023-08-31T23:59:59.999Z
2023-07,16.7,32.6,"4,141",243.3,5.85,"1,710",BTC,30471.8475630488,31814.5148120678,28934.2941602457,29230.110878649,382.2,568365621732.67,2023-07-31T23:59:59.999Z
2023-06,17.2,33.4,"4,427",236.5,5.54,"1,701",BTC,27218.4123755644,31389.5381281357,24797.1678486154,30477.2512822446,481.7,591758288455.82,2023-06-30T23:59:59.999Z
2023-05,19.0,37.8,"4,963",243.3,5.87,"1,914",BTC,29227.1039819099,29820.1266220765,25878.428829536,27219.6586081109,443.5,527773175252.01,2023-05-31T23:59:59.999Z
2023-04,20.5,41.0,"4,715",298.4,7.46,"2,455",BTC,28473.3318011971,31005.6080444729,27070.8494995525,29268.8070431626,531.1,566661285145.37,2023-04-30T23:59:59.999Z
2023-03,18.7,35.8,"4,798",302.4,6.63,"1,840",BTC,23150.9299581785,29159.9026178662,19628.2543094205,28478.4846056804,883.3,550593053896.62,2023-03-31T23:59:59.999Z
2023-02,17.7,32.8,"4,313",269.6,5.93,"1,847",BTC,23137.8351361505,25134.1173501961,21460.0885038644,23147.3533899085,724.0,446846764116.35,2023-02-28T23:59:59.999Z
2023-01,17.7,33.6,"4,063",247.6,5.88,"1,870",BTC,16547.9143978715,23919.8897614092,16521.233430529,23139.2839099123,690.9,446082285297.19,2023-01-31T23:59:59.999Z
2022-12,21.2,38.0,"3,859",243.3,5.65,"2,062",BTC,17168.0021376253,18318.530584361,16398.1362516753,16547.4953660162,567.3,318516317872.25,2022-12-31T23:59:59.999Z
2022-11,18.5,31.9,"3,669",238.1,5.0,"1,735",BTC,20494.8976229392,21446.8860966908,15599.0471753829,17168.5655484864,1224.5,329997633644.39,2022-11-30T23:59:59.999Z
2022-10,18.3,30.4,"4,257",242.4,4.69,"1,585",BTC,19431.1049459172,20988.3944704236,18319.8226296141,20495.7742320325,957.9,393413045572.67,2022-10-31T23:59:59.999Z
2022-09,19.5,32.9,"4,524",255.5,4.81,"1,528",BTC,20050.4986698419,22673.8197662856,18290.315188225,19431.7894465994,1123.3,372414733487.45,2022-09-30T23:59:59.999Z
