Date,btcprice,Open,High,Low,Vol.,BTC Change %,ethprice,xauprice,usdeurprice
11/14/2024,87305.0,90453.0,91776.0,86693.0,1590.0,-3.48%,3058.22,2566.19,0.9496
11/13/2024,90453.0,88007.0,93286.0,86152.0,2720.0,2.78%,3187.02,2573.78,0.9465
11/12/2024,88007.0,88566.0,89933.0,85128.0,2920.0,-0.63%,3242.44,2597.27,0.9413
11/11/2024,88566.0,80367.0,89528.0,80244.0,3620.0,10.20%,3372.13,2620.2,0.9383
11/08/2024,76496.0,75864.0,77049.0,75611.0,800.0,0.83%,2961.34,2683.77,0.9329
11/07/2024,75864.0,75580.0,76655.0,74397.0,1430.0,0.38%,2894.13,2706.99,0.9254
11/06/2024,75580.0,69450.0,76179.0,69401.0,4900.0,8.83%,2721.85,2659.24,0.932
11/05/2024,69450.0,67858.0,70598.0,67541.0,780.0,2.35%,2422.5,2743.59,0.9147
11/04/2024,67858.0,68807.0,69505.0,66881.0,630.0,-1.38%,2398.95,2736.39,0.9193
11/01/2024,69590.0,70299.0,71637.0,68889.0,920.0,-1.01%,2511.96,2735.16,0.923
10/31/2024,70299.0,72455.0,72664.0,69674.0,400.0,-2.98%,2519.14,2743.8,0.9188
10/30/2024,72455.0,72688.0,73014.0,71510.0,440.0,-0.32%,2658.62,2786.19,0.9211
10/29/2024,72688.0,69989.0,73525.0,69812.0,2650.0,3.86%,2638.64,2775.13,0.9243
10/28/2024,69989.0,68035.0,70287.0,67660.0,730.0,2.87%,2567.41,2741.98,0.9248
10/25/2024,66734.0,68188.0,68750.0,65629.0,520.0,-2.13%,2441.18,2747.69,0.9262
10/24/2024,68188.0,66695.0,68846.0,66527.0,450.0,2.24%,2535.87,2735.7,0.9235
10/23/2024,66695.0,67405.0,67436.0,65265.0,450.0,-1.05%,2526.1,2717.54,0.9273
10/22/2024,67405.0,67425.0,67824.0,66648.0,400.0,-0.03%,2621.79,2748.38,0.9258
10/21/2024,67425.0,69045.0,69554.0,66942.0,580.0,-2.35%,2666.66,2719.65,0.9246
10/18/2024,68368.0,67453.0,68886.0,67240.0,900.0,1.36%,2641.72,2720.25,0.9202
10/17/2024,67453.0,67657.0,67962.0,66724.0,380.0,-0.30%,2605.53,2692.55,0.9232
10/16/2024,67657.0,67123.0,68367.0,66861.0,1160.0,0.80%,2611.09,2673.24,0.9206
10/15/2024,67123.0,66179.0,67806.0,64857.0,1400.0,1.43%,2607.84,2660.99,0.9181
10/14/2024,66179.0,62986.0,66555.0,62601.0,810.0,5.07%,2630.54,2651.05,0.9166
10/11/2024,62581.0,60337.0,63455.0,60104.0,420.0,3.72%,2436.73,2656.0,0.9142
10/10/2024,60337.0,60650.0,61364.0,58944.0,660.0,-0.52%,2385.4,2629.48,0.9144
10/09/2024,60650.0,62231.0,62586.0,60371.0,460.0,-2.54%,2370.13,2607.77,0.9141
10/08/2024,62231.0,62269.0,63248.0,61941.0,430.0,-0.06%,2440.93,2621.94,0.9105
10/07/2024,62269.0,62894.0,64514.0,62202.0,610.0,-0.99%,2422.75,2643.58,0.911
10/04/2024,62191.0,60892.0,62575.0,60602.0,430.0,2.13%,2414.43,2652.25,0.9109
10/03/2024,60892.0,60785.0,61600.0,60009.0,380.0,0.18%,2349.67,2655.9,0.9065
10/02/2024,60785.0,60981.0,62455.0,60139.0,740.0,-0.32%,2365.57,2657.75,0.9053
10/01/2024,60981.0,63468.0,64217.0,60329.0,890.0,-3.92%,2449.67,2662.82,0.9034
09/30/2024,63468.0,65762.0,65762.0,63006.0,1040.0,-3.49%,2603.48,2634.49,0.8981
09/27/2024,65928.0,65307.0,66548.0,64987.0,670.0,0.95%,2694.53,2657.97,0.8957
09/26/2024,65307.0,63264.0,65856.0,62805.0,860.0,3.23%,2632.05,2670.2,0.8947
09/25/2024,63264.0,64381.0,64888.0,63082.0,400.0,-1.73%,2580.34,2656.82,0.8981
09/24/2024,64381.0,63456.0,64775.0,62850.0,530.0,1.46%,2652.5,2656.7,0.8944
09/23/2024,63456.0,63663.0,64830.0,62701.0,720.0,-0.33%,2647.65,2628.4,0.8998
09/20/2024,63205.0,63032.0,64200.0,62435.0,490.0,0.27%,2561.79,2621.96,0.8958
09/19/2024,63032.0,61841.0,63948.0,61714.0,800.0,1.93%,2464.49,2586.48,0.8959
09/18/2024,61841.0,60435.0,61869.0,59293.0,1000.0,2.33%,2372.18,2559.16,0.8994
09/17/2024,60435.0,58342.0,61337.0,57773.0,1100.0,3.59%,2341.82,2569.52,0.8998
09/16/2024,58342.0,59296.0,59336.0,57653.0,620.0,-1.61%,2295.72,2582.58,0.8982
09/13/2024,60645.0,58287.0,60730.0,57762.0,1160.0,4.05%,2440.12,2576.5,0.9028
09/12/2024,58287.0,57451.0,58643.0,57449.0,800.0,1.46%,2361.79,2558.75,0.9029
09/11/2024,57451.0,57758.0,58104.0,55743.0,1190.0,-0.53%,2340.19,2511.44,0.9079
09/10/2024,57758.0,57110.0,58135.0,56489.0,270.0,1.13%,2387.71,2516.12,0.9074
09/09/2024,57110.0,55016.0,58062.0,54752.0,1940.0,3.81%,2359.6,2505.25,0.9062
09/06/2024,54133.0,56318.0,57102.0,52756.0,2370.0,-3.88%,2225.72,2497.03,0.902
09/05/2024,56318.0,58116.0,58451.0,55868.0,2080.0,-3.09%,2369.18,2516.32,0.9
09/04/2024,58116.0,57680.0,58630.0,56069.0,2150.0,0.76%,2450.18,2494.84,0.9023
09/03/2024,57680.0,59308.0,59976.0,57610.0,970.0,-2.74%,2423.4,2492.76,0.9055
09/02/2024,59308.0,57454.0,59585.0,57320.0,890.0,3.23%,2538.35,2499.29,0.9031
08/30/2024,59300.0,59542.0,59999.0,58000.0,1900.0,-0.41%,2525.45,2503.03,0.9051
08/29/2024,59542.0,59145.0,61290.0,58902.0,1000.0,0.67%,2528.72,2521.18,0.9027
08/28/2024,59145.0,59570.0,60325.0,58085.0,780.0,-0.71%,2527.73,2502.25,0.8992
08/27/2024,59570.0,62974.0,63306.0,58200.0,1160.0,-5.41%,2457.99,2524.57,0.8941
08/26/2024,62974.0,64361.0,64578.0,62934.0,390.0,-2.16%,2680.3,2516.89,0.8959
08/23/2024,64151.0,60483.0,64953.0,60470.0,750.0,6.06%,2762.86,2512.07,0.8934
08/22/2024,60483.0,61252.0,61460.0,59863.0,350.0,-1.26%,2623.06,2483.29,0.8998
08/21/2024,61252.0,59172.0,61898.0,58958.0,980.0,3.52%,2630.67,2511.95,0.8968
08/20/2024,59172.0,59609.0,61472.0,58763.0,1100.0,-0.73%,2572.9,2513.74,0.8984
08/19/2024,59609.0,58543.0,59699.0,57955.0,300.0,1.82%,2637.1,2503.92,0.902
08/16/2024,58996.0,57594.0,59905.0,57187.0,450.0,2.43%,2592.38,2507.28,0.9067
08/15/2024,57594.0,58777.0,59909.0,56231.0,810.0,-2.01%,2569.44,2456.1,0.9113
08/14/2024,58777.0,60666.0,61740.0,58558.0,840.0,-3.11%,2662.95,2447.64,0.908
08/13/2024,60666.0,59440.0,61612.0,58545.0,770.0,2.06%,2702.95,2465.03,0.9096
08/12/2024,59440.0,58817.0,60718.0,57750.0,750.0,1.06%,2722.64,2472.25,0.9147
08/09/2024,60970.0,61801.0,61801.0,59630.0,370.0,-1.34%,2598.9,2430.93,0.916
08/08/2024,61801.0,55179.0,62752.0,54847.0,1510.0,12.00%,2683.84,2426.75,0.9158
08/07/2024,55179.0,56187.0,57814.0,54659.0,840.0,-1.79%,2337.83,2381.53,0.9155
08/06/2024,56187.0,54169.0,57200.0,54142.0,1170.0,3.73%,2461.92,2389.37,0.9147
08/05/2024,54169.0,58203.0,58343.0,49538.0,7250.0,-6.93%,2415.99,2407.65,0.9128
08/02/2024,61529.0,65465.0,65668.0,61326.0,1130.0,-6.01%,2990.32,2443.29,0.9164
08/01/2024,65465.0,64724.0,65694.0,62413.0,1430.0,1.14%,3204.93,2445.42,0.9266
07/31/2024,64724.0,66349.0,66939.0,64636.0,490.0,-2.45%,3231.84,2448.1,0.9237
07/30/2024,66349.0,66933.0,67129.0,65556.0,680.0,-0.87%,3278.94,2408.43,0.9246
07/29/2024,66933.0,68419.0,70162.0,66666.0,1220.0,-2.17%,3318.24,2383.54,0.924
07/26/2024,68061.0,65849.0,68333.0,65849.0,750.0,3.36%,3275.12,2385.57,0.9208
07/25/2024,65849.0,65482.0,66241.0,63560.0,1090.0,0.56%,3175.52,2364.5,0.9218
07/24/2024,65482.0,66101.0,67221.0,65258.0,740.0,-0.94%,3335.33,2397.59,0.9223
07/23/2024,66101.0,67714.0,67905.0,65589.0,560.0,-2.38%,3482.54,2409.21,0.9212
07/22/2024,67714.0,68263.0,68560.0,66718.0,710.0,-0.80%,3440.01,2397.65,0.9179
07/19/2024,66789.0,64048.0,67503.0,63414.0,1010.0,4.28%,3504.42,2400.79,0.919
07/18/2024,64048.0,64204.0,65181.0,63294.0,620.0,-0.24%,3425.94,2444.97,0.9178
07/17/2024,64204.0,65188.0,66180.0,63959.0,510.0,-1.51%,3387.81,2458.38,0.914
07/16/2024,65188.0,64882.0,65481.0,62558.0,840.0,0.47%,3442.99,2468.57,0.9173
07/15/2024,64882.0,60946.0,65014.0,60842.0,1340.0,6.46%,3484.78,2422.07,0.9179
07/12/2024,58049.0,57458.0,58653.0,56668.0,1120.0,1.03%,3133.33,2411.27,0.9167
07/11/2024,57458.0,57931.0,59511.0,57237.0,1370.0,-0.82%,3099.82,2414.78,0.92
07/10/2024,57931.0,58205.0,59588.0,57356.0,970.0,-0.47%,3101.17,2371.07,0.9233
07/09/2024,58205.0,56873.0,58418.0,56462.0,1310.0,2.34%,3065.11,2363.58,0.9246
07/08/2024,56873.0,56050.0,58350.0,54500.0,1700.0,1.47%,3019.64,2358.8,0.9237
07/05/2024,56759.0,57118.0,57604.0,53727.0,3020.0,-0.63%,2981.4,2391.46,0.9225
07/04/2024,57118.0,60298.0,60550.0,56810.0,2400.0,-5.30%,3057.81,2356.12,0.9249
07/03/2024,60314.0,62214.0,62386.0,59538.0,1010.0,-3.06%,3295.13,2356.06,0.927
07/02/2024,62219.0,62965.0,63331.0,61879.0,610.0,-1.18%,3421.71,2329.28,0.9305
07/01/2024,62965.0,62867.0,63911.0,62631.0,690.0,0.16%,3442.67,2331.7,0.9309
06/28/2024,60546.0,61803.0,62289.0,60153.0,890.0,-2.03%,3380.15,2325.71,0.9331
06/27/2024,61803.0,60923.0,62479.0,60708.0,1320.0,1.44%,3450.45,2327.45,0.9341
06/26/2024,60923.0,61878.0,62555.0,60806.0,870.0,-1.54%,3370.72,2297.91,0.9362
06/25/2024,61878.0,60372.0,62434.0,60340.0,1560.0,2.49%,3395.03,2319.01,0.9332
06/24/2024,60372.0,63292.0,63451.0,58595.0,2950.0,-4.61%,3352.29,2332.93,0.9316
06/21/2024,64234.0,65007.0,65196.0,63505.0,1120.0,-1.18%,3518.03,2320.34,0.935
06/20/2024,65000.0,65071.0,66585.0,64669.0,1160.0,-0.11%,3512.91,2359.63,0.9342
06/19/2024,65071.0,65250.0,65820.0,64784.0,710.0,-0.27%,3561.3,2327.48,0.9305
06/18/2024,65250.0,66570.0,66623.0,64179.0,1600.0,-1.98%,3484.55,2328.33,0.9309
06/17/2024,66570.0,66677.0,67301.0,65148.0,680.0,-0.16%,3511.52,2318.87,0.9315
06/14/2024,66038.0,66776.0,67370.0,65088.0,810.0,-1.11%,3481.84,2332.52,0.9342
06/13/2024,66776.0,68266.0,68400.0,66272.0,530.0,-2.18%,3470.15,2303.19,0.9312
06/12/2024,68266.0,67331.0,70036.0,66919.0,1160.0,1.39%,3559.95,2322.55,0.925
06/11/2024,67331.0,69528.0,69552.0,66189.0,1340.0,-3.16%,3498.0,2316.27,0.931
06/10/2024,69528.0,69646.0,70150.0,69181.0,490.0,-0.17%,3667.85,2310.6,0.9288
06/07/2024,69403.0,70836.0,71912.0,68674.0,1730.0,-2.02%,3678.37,2292.71,0.9256
06/06/2024,70836.0,71101.0,71651.0,70156.0,670.0,-0.37%,3812.95,2375.61,0.9181
06/05/2024,71101.0,70604.0,71717.0,70409.0,860.0,0.70%,3865.14,2354.78,0.9199
06/04/2024,70604.0,68859.0,71071.0,68608.0,800.0,2.53%,3810.35,2327.68,0.9189
06/03/2024,68859.0,67816.0,70276.0,67636.0,1200.0,1.54%,3767.1,2350.35,0.9169
05/31/2024,67582.0,68413.0,69028.0,66700.0,820.0,-1.21%,3762.66,2326.97,0.9221
05/30/2024,68413.0,67720.0,69523.0,67202.0,700.0,1.02%,3747.55,2343.0,0.923
05/29/2024,67720.0,68434.0,68971.0,67225.0,630.0,-1.04%,3769.57,2338.77,0.9256
05/28/2024,68434.0,69492.0,69597.0,67400.0,900.0,-1.52%,3845.56,2360.95,0.9209
05/27/2024,69492.0,68585.0,70678.0,68313.0,1110.0,1.32%,3894.33,2350.74,0.9209
05/24/2024,68604.0,68058.0,69308.0,66733.0,640.0,0.80%,3728.21,2333.76,0.9217
05/23/2024,68058.0,69225.0,70095.0,66555.0,1280.0,-1.69%,3785.65,2328.37,0.9246
05/22/2024,69225.0,70148.0,70647.0,69000.0,760.0,-1.32%,3739.08,2378.25,0.9238
05/21/2024,70148.0,71428.0,71921.0,69210.0,1370.0,-1.79%,3790.46,2421.64,0.9212
05/20/2024,71428.0,66339.0,71479.0,66166.0,2260.0,7.67%,3661.07,2425.12,0.9209
05/17/2024,67182.0,65314.0,67540.0,65220.0,920.0,2.86%,3092.75,2414.89,0.9196
05/16/2024,65314.0,66320.0,66780.0,64715.0,880.0,-1.52%,2944.99,2376.44,0.92
05/15/2024,66320.0,61668.0,66500.0,61440.0,1650.0,7.54%,3034.71,2386.04,0.9186
05/14/2024,61668.0,62986.0,63175.0,61239.0,860.0,-2.09%,2881.99,2357.97,0.924
05/13/2024,62986.0,61612.0,63535.0,60866.0,660.0,2.23%,2951.01,2336.05,0.9267
05/10/2024,60807.0,63209.0,63606.0,60300.0,1670.0,-3.80%,2909.86,2360.14,0.9282
05/09/2024,63209.0,61343.0,63509.0,60778.0,880.0,3.04%,3036.32,2345.88,0.9274
05/08/2024,61343.0,62432.0,63111.0,61020.0,760.0,-1.74%,2974.94,2308.65,0.9302
05/07/2024,62432.0,63280.0,64480.0,62378.0,440.0,-1.34%,3006.36,2313.79,0.9296
05/06/2024,63280.0,64173.0,65625.0,62812.0,860.0,-1.39%,3062.03,2323.57,0.9285
05/03/2024,62978.0,59247.0,63429.0,58914.0,2890.0,6.30%,3102.25,2301.56,0.9292
05/02/2024,59247.0,58457.0,59732.0,57082.0,2230.0,1.35%,2987.12,2303.29,0.9321
05/01/2024,58457.0,60836.0,60991.0,56756.0,3900.0,-3.91%,2973.27,2317.9,0.9334
04/30/2024,60836.0,63960.0,64800.0,59372.0,1960.0,-4.88%,3014.41,2285.57,0.9374
04/29/2024,63960.0,63226.0,64304.0,61949.0,1010.0,1.16%,3216.29,2334.44,0.9326
04/26/2024,63874.0,64555.0,64838.0,63376.0,720.0,-1.05%,3130.9,2337.72,0.9349
04/25/2024,64555.0,64345.0,65348.0,62846.0,930.0,0.33%,3155.83,2331.78,0.932
04/24/2024,64345.0,66458.0,67153.0,63667.0,910.0,-3.18%,3141.03,2315.82,0.9345
04/23/2024,66458.0,66894.0,67234.0,65904.0,510.0,-0.65%,3220.13,2321.81,0.9343
04/22/2024,66894.0,64992.0,67282.0,64581.0,1080.0,2.93%,3200.62,2326.29,0.9384
04/19/2024,63867.0,63529.0,65487.0,59698.0,2280.0,0.53%,3056.23,2390.45,0.9384
04/18/2024,63529.0,61375.0,64159.0,60932.0,1660.0,3.51%,3064.48,2378.25,0.9394
04/17/2024,61375.0,63874.0,64534.0,59840.0,2280.0,-3.91%,2985.82,2360.81,0.9368
04/16/2024,63874.0,63488.0,64415.0,61765.0,1800.0,0.61%,3083.43,2382.83,0.9415
04/15/2024,63488.0,65793.0,66888.0,62386.0,2490.0,-3.50%,3100.94,2382.51,0.9411
04/12/2024,67061.0,70104.0,71291.0,65625.0,2750.0,-4.34%,3239.86,2343.43,0.9393
04/11/2024,70104.0,70688.0,71352.0,69650.0,1410.0,-0.83%,3502.55,2373.24,0.9321
04/10/2024,70688.0,69165.0,71241.0,67606.0,2390.0,2.20%,3545.16,2332.79,0.9308
04/09/2024,69164.0,71675.0,71751.0,68253.0,2830.0,-3.50%,3506.96,2352.58,0.9209
04/08/2024,71675.0,69343.0,72761.0,69040.0,3090.0,3.36%,3694.93,2338.89,0.9207
04/05/2024,67819.0,68518.0,68718.0,65993.0,1680.0,-1.02%,3317.84,2329.5,0.9226
04/04/2024,68518.0,65967.0,69320.0,65074.0,2230.0,3.87%,3327.45,2289.43,0.9226
04/03/2024,65967.0,65495.0,66931.0,64603.0,1430.0,0.72%,3310.62,2299.17,0.9228
04/02/2024,65495.0,69691.0,69691.0,64667.0,3470.0,-6.02%,3277.99,2280.1,0.9284
04/01/2024,69691.0,71402.0,71402.0,68198.0,2560.0,-2.40%,3502.82,2250.36,0.9308
03/28/2024,70776.0,69467.0,71557.0,68932.0,1570.0,1.88%,3559.43,2232.38,0.9267
03/27/2024,69467.0,70011.0,71610.0,68452.0,4200.0,-0.78%,3500.43,2194.02,0.9234
03/26/2024,70011.0,69824.0,71402.0,69347.0,1870.0,0.27%,3587.5,2178.58,0.923
03/25/2024,69824.0,67283.0,70983.0,66397.0,4660.0,3.78%,3590.62,2171.45,0.9226
03/22/2024,63828.0,65577.0,66712.0,62336.0,3150.0,-2.67%,3334.12,2164.15,0.9252
03/21/2024,65577.0,67912.0,68229.0,64639.0,3360.0,-3.44%,3493.23,2180.81,0.9207
03/20/2024,67912.0,62072.0,68155.0,60900.0,4530.0,9.41%,3514.73,2185.96,0.9156
03/19/2024,62072.0,67606.0,68136.0,61689.0,6980.0,-8.19%,3165.2,2157.23,0.9202
03/18/2024,67606.0,68456.0,68940.0,66648.0,2320.0,-1.24%,3520.3,2159.99,0.9195
03/15/2024,69457.0,71364.0,72413.0,65705.0,5080.0,-2.67%,3741.12,2155.54,0.9182
03/14/2024,71364.0,72985.0,73666.0,68602.0,3480.0,-2.21%,3883.94,2161.01,0.9187
03/13/2024,72974.0,71237.0,73588.0,71172.0,3070.0,2.44%,4004.29,2174.4,0.9133
03/12/2024,71237.0,71937.0,72760.0,68429.0,6890.0,-0.97%,3979.3,2157.99,0.9151
03/11/2024,71937.0,68948.0,72606.0,67096.0,7120.0,4.34%,4065.02,2182.47,0.9152
03/08/2024,68018.0,66744.0,69838.0,66100.0,4670.0,1.91%,3883.2,2177.51,0.914
03/07/2024,66744.0,66073.0,67953.0,65641.0,2190.0,1.02%,3869.69,2159.16,0.9132
03/06/2024,66073.0,63818.0,67658.0,62805.0,4510.0,3.53%,3814.56,2148.29,0.9173
03/05/2024,63818.0,68110.0,68874.0,59858.0,9330.0,-6.30%,3556.03,2127.55,0.9209
03/04/2024,68110.0,63121.0,68161.0,62489.0,5450.0,7.90%,3626.34,2114.99,0.921
03/01/2024,62346.0,61148.0,63000.0,60783.0,2510.0,1.96%,3433.51,2083.39,0.9224
02/29/2024,61148.0,62380.0,63566.0,60385.0,4100.0,-1.97%,3339.26,2043.24,0.9253
02/28/2024,62380.0,56998.0,63780.0,56668.0,6630.0,9.44%,3383.03,2034.62,0.9225
02/27/2024,56998.0,54417.0,57487.0,54388.0,4500.0,4.74%,3242.14,2029.64,0.9218
02/26/2024,54417.0,51716.0,54720.0,50903.0,4390.0,5.22%,3175.94,2030.66,0.9214
02/23/2024,50734.0,51287.0,51537.0,50527.0,1050.0,-1.08%,2922.24,2035.72,0.924
02/22/2024,51287.0,51856.0,52042.0,50903.0,1870.0,-1.10%,2972.46,2024.11,0.9236
02/21/2024,51856.0,52168.0,52279.0,50600.0,2230.0,-0.60%,2971.18,2024.99,0.9241
02/20/2024,52168.0,51732.0,52872.0,50714.0,2600.0,0.84%,3015.38,2023.53,0.9253
02/19/2024,51732.0,52061.0,52466.0,51650.0,1190.0,-0.63%,2944.8,2017.63,0.9276
02/16/2024,52130.0,51893.0,52579.0,51580.0,1270.0,0.46%,2801.8,2013.1,0.9278
02/15/2024,51893.0,51778.0,52700.0,51280.0,2440.0,0.22%,2822.59,2004.09,0.9281
02/14/2024,51778.0,49777.0,52005.0,49319.0,3070.0,4.02%,2775.12,1992.39,0.9321
02/13/2024,49777.0,49947.0,50349.0,48388.0,2430.0,-0.34%,2640.1,1992.13,0.9336
02/12/2024,49947.0,48321.0,50283.0,47699.0,4360.0,3.36%,2657.87,2019.79,0.9282
02/09/2024,47150.0,45279.0,48182.0,45247.0,2800.0,4.13%,2486.24,2024.16,0.9271
02/08/2024,45279.0,44328.0,45541.0,44328.0,1670.0,2.15%,2419.56,2033.18,0.9276
02/07/2024,44328.0,43101.0,44351.0,42788.0,1740.0,2.85%,2424.64,2034.22,0.9281
02/06/2024,43101.0,42707.0,43375.0,42574.0,710.0,0.92%,2372.65,2035.46,0.9298
02/05/2024,42707.0,42583.0,43540.0,42247.0,1040.0,0.29%,2301.83,2024.67,0.9307
02/02/2024,43201.0,43088.0,43477.0,42560.0,780.0,0.26%,2309.28,2038.59,0.927
02/01/2024,43088.0,42594.0,43272.0,41880.0,940.0,1.16%,2304.28,2054.89,0.9196
01/31/2024,42594.0,42956.0,43722.0,42304.0,1290.0,-0.84%,2283.14,2037.19,0.9242
01/30/2024,42956.0,43309.0,43840.0,42700.0,1110.0,-0.80%,2343.11,2036.12,0.9218
01/29/2024,43301.0,42047.0,43301.0,41833.0,1160.0,2.98%,2317.79,2031.75,0.9229
01/26/2024,41821.0,40001.0,42192.0,39877.0,2730.0,4.55%,2267.55,2018.34,0.9211
01/25/2024,40001.0,40140.0,40333.0,39556.0,2300.0,-0.35%,2217.71,2019.75,0.9219
01/24/2024,40140.0,39938.0,40590.0,39533.0,1880.0,0.51%,2234.64,2012.59,0.9185
01/23/2024,39938.0,39599.0,40215.0,38572.0,2780.0,0.86%,2243.74,2028.69,0.9216
01/22/2024,39599.0,41679.0,41775.0,39461.0,3150.0,-4.99%,2313.64,2020.99,0.9187
01/19/2024,41719.0,41337.0,42212.0,40364.0,1550.0,0.92%,2491.81,2029.09,0.9175
01/18/2024,41337.0,42778.0,42932.0,40704.0,1380.0,-3.37%,2469.77,2022.67,0.9193
01/17/2024,42778.0,43163.0,43215.0,42237.0,800.0,-0.89%,2531.26,2005.72,0.9187
01/16/2024,43163.0,42508.0,43588.0,42107.0,700.0,1.54%,2588.64,2027.59,0.9193
01/15/2024,42508.0,41737.0,43359.0,41705.0,930.0,1.85%,2511.94,2054.49,0.9131
01/12/2024,42831.0,46377.0,46508.0,41574.0,3780.0,-7.65%,2523.98,2048.72,0.913
01/11/2024,46377.0,46636.0,48750.0,45650.0,5420.0,-0.56%,2618.08,2028.09,0.9112
01/10/2024,46636.0,46113.0,47572.0,44352.0,5050.0,1.13%,2581.79,2023.4,0.9112
01/09/2024,46113.0,46941.0,47845.0,45133.0,3870.0,-1.76%,2344.67,2029.59,0.9147
01/08/2024,46941.0,43960.0,47205.0,43244.0,3830.0,6.78%,2330.98,2027.84,0.913
01/05/2024,44189.0,44221.0,44415.0,42746.0,1890.0,-0.07%,2268.12,2045.5,0.9138
01/04/2024,44221.0,42869.0,44798.0,42673.0,1850.0,3.15%,2267.27,2043.26,0.9135
01/03/2024,42869.0,44991.0,45559.0,40499.0,4190.0,-4.72%,2209.49,2040.78,0.9156
01/02/2024,44991.0,44175.0,45892.0,44175.0,3100.0,1.85%,2355.27,2058.88,0.9137
01/01/2024,44175.0,42323.0,44190.0,42232.0,1160.0,4.38%,2352.03,2063.8,0.9053
12/29/2023,42139.0,42617.0,43168.0,41433.0,1640.0,-1.12%,2299.24,2062.59,0.906
12/28/2023,42617.0,43476.0,43793.0,42388.0,1090.0,-1.98%,2344.47,2064.86,0.9039
12/27/2023,43476.0,42568.0,43666.0,42178.0,1020.0,2.13%,2378.63,2077.16,0.9003
12/26/2023,42568.0,43641.0,43649.0,41772.0,1990.0,-2.46%,2230.74,2066.6,0.9053
12/25/2023,43641.0,43026.0,43880.0,42784.0,840.0,1.43%,2271.38,2054.93,0.9082
12/22/2023,44038.0,43890.0,44444.0,43480.0,990.0,0.34%,2324.23,2052.98,0.9079
12/21/2023,43890.0,43662.0,44250.0,43363.0,1170.0,0.52%,2239.62,2045.49,0.9081
12/20/2023,43662.0,42315.0,44336.0,42245.0,2180.0,3.18%,2202.19,2029.19,0.9139
12/19/2023,42315.0,42672.0,43429.0,41850.0,960.0,-0.84%,2177.44,2040.12,0.9104
12/18/2023,42672.0,41406.0,42753.0,40556.0,1460.0,3.06%,2218.8,2027.0,0.9152
12/15/2023,41961.0,43064.0,43106.0,41742.0,1010.0,-2.56%,2220.41,2018.19,0.9177
12/14/2023,43064.0,42924.0,43434.0,41601.0,1670.0,0.33%,2315.64,2035.53,0.9095
12/13/2023,42924.0,41501.0,43424.0,40682.0,1450.0,3.43%,2260.18,2026.39,0.9194
12/12/2023,41501.0,41287.0,42113.0,40733.0,900.0,0.52%,2203.49,1979.44,0.9263
12/11/2023,41287.0,43809.0,43840.0,40286.0,3000.0,-5.76%,2225.34,1981.3,0.9288
12/08/2023,44173.0,43290.0,44699.0,43101.0,1960.0,2.04%,2358.42,2003.39,0.9289
12/07/2023,43290.0,43814.0,44091.0,42881.0,2940.0,-1.20%,2355.8,2028.34,0.9263
12/06/2023,43814.0,44112.0,44285.0,43444.0,5130.0,-0.68%,2233.45,2024.9,0.9289
12/05/2023,44112.0,41942.0,44420.0,41317.0,5330.0,5.17%,2293.34,2019.42,0.926
